Title,Author(s),Publisher,Publication Date,Place of Publication,Edition,Categories,Language,ISBN-10,Price,Monetary Units,Quantity,Book Binding Type,Location,ISBN-13,LC Control Number,Call Number,Dewey Class Number,Availability,Total Reserved
Intermediate algebra : structure and use,"Barnett, Raymond A. Kearns, Thomas J.",McGraw-Hill,1/1/1994,New York,5,Algebra.,UNKNOWN,70045739,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,93002364,QA154.2 .B38 1994,512/.9,1,0
"Internet, mail, and mixed-mode surveys : the tailored design method.","Dillman, Don A. Smyth, Jolene D. Christian, Leah Melani.",Wiley & Sons,1/1/2009,"Hoboken, N.J",3,Social surveys. Questionnaires. Data Collection.,UNKNOWN,471698687,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2008033213,HM538 .D55 2009,300.72/3,1,0
Introducing ANOVA and ANCOVA : a GLM approach,"Rutherford, Andrew",SAGE,1/1/2001,"London  ; Thousand Oaks, Calif",1,Analysis of variance. Analysis of covariance.,UNKNOWN,076195161X,0,UNKNOWN,1,Paperback,UNKNOWN,9.78076E+12,2001270786,QA279 .R88 2001,519.5/38,1,0
Introducing Monte Carlo methods with R,"Robert, Christian P. Casella, George.",Springer,1/1/2010,New York,1,Monte Carlo method. Mathematical statistics. R (Computer program language) Markov processes. Monte Carlo Method. Mathematical Computing. Monte Carlo-methode. R (computerprogramma) Monte-Carlo-Simulation. R (Programm),UNKNOWN,1441915761,0,UNKNOWN,1,Paperback,1. Stacks,9.78144E+12,,QA298 .R63 2010,,1,0
"Introduction to difference equations : with illustrative examples from economics, psychology, and sociology","Goldberg, Samuel",Dover Publications,1/1/1986,New York,1,Difference equations. Social sciences.,UNKNOWN,486650847,8.95,UNKNOWN,1,Paperback,UNKNOWN,9.78049E+12,85031131,QA431 .G59 1986,515/.625,1,0
"Introduction to Linear Algebra, Fourth Edition",Gilbert Strang,Wellesley Cambridge Press,2/10/2009,N/A,4,Algebras.,UNKNOWN,980232716,87.5,UNKNOWN,1,Hardcover,2. Electronic - Statisticalcomp,9.78098E+12,,QA184.S78 2009,,1,0
Introduction to mathematical statistics,"Hogg, Robert V. McKean, Joseph W. Craig, Allen T.",Pearson Education,1/1/2005,"Upper Saddle River, N.J",6,Mathematical statistics.,UNKNOWN,130085073,0,UNKNOWN,1,Paperback,UNKNOWN,9.78013E+12,2004054692,QA276 .H59 2005,519.5,1,0
Introduction to probability and its applications.,"Scheaffer, Richard L. Young, Linda J.",Brooks/Cole,1/1/2010,"Boston, MA",3,Probabilities.,UNKNOWN,143904726X,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78144E+12,2009922034,QA273 .S357 2010,519.2,1,0
Introduction to probability and mathematical statistics,"Bain, Lee J. Engelhardt, Max.",PWS-KENT Pub.,1/1/1992,Boston,2,Probabilities. Mathematical statistics.,UNKNOWN,534985637,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,91025923,QA273 .B2546 1991,519.2,1,0
Introduction to probability models,"Ross, Sheldon M.",Academic Press,1/1/1989,Boston,4,Probabilities.,UNKNOWN,125984642,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78013E+12,89006539,QA273 .R84 1989,519.2,1,0
Introduction to probablility and statistical inference,"Roussas, George G.",Academic Press,1/1/2003,Amsterdam Boston,1,Probabilities. Mathematical statistics.,UNKNOWN,125990200,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78013E+12,2002110812,QA273 .R865 2003,519.2,1,0
Introduction to Scientific Programming and Simulation with R,"Jones, Owen Maillardet, Robert Robinson, Andrew",Chapman & Hall/CRC [Imprint] $c March,1/1/2000,Boca Raton,1,N/A,UNKNOWN,1420068725,0,UNKNOWN,1,Hardcover,1. Stacks,9.78142E+12,,Q183.9,502.855133,1,0
Introduction to variance estimation,"Wolter, Kirk M.",Springer,1/1/2007,New York,2,Analysis of variance. Estimation theory.,UNKNOWN,038732917X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,2006927793,QA279 .W65 2007,519.5/38,1,0
Japanese candlestick charting techniques : a contemporary guide to the ancient investment technique of the Far East,"Nison, Steve.",New York Institute of Finance,1/1/1991,New York,1,Stocks. Investment analysis.,UNKNOWN,139316507,0,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,90022736,HG4638 .N57 1991,332.63/22,1,0
Japan's postwar history,"Allinson, Gary D.",Cornell University Press,1/1/1997,"Ithaca, N.Y",1,N/A,UNKNOWN,801433126,0,UNKNOWN,1,Paperback,1. Stacks,9.7808E+12,96038163,DS889 .A59 1997,952.04,1,0
JavaServer pages : your visual blueprint for designing dynamic content with JSP,"Whitehead, Paul",Hungry Minds,1/1/2001,"New York, NY",1,Java (Computer program language) Web sites. Web site development.,UNKNOWN,764535420,0,UNKNOWN,1,Paperback,UNKNOWN,9.78076E+12,193100,TK5105.8885.J38 W48 2001,005.2/762,1,0
Joint application development,"Wood, Jane Silver, Denise.",Wiley,1/1/1995,New York,2,System design.,UNKNOWN,471042994,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,94033875,QA76.9.S88 W65 1995,004.2/1,1,0
Learning SAS by example,"Cody, Ronald P.",SAS Institute,1/1/2007,"Cary, N.C",1,Database management.,UNKNOWN,1599941651,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,,QA76.9.D3 C6266 2007eb,5.74,1,0
Lebesgue integration on Euclidean space,"Jones, Frank",Jones and Bartlett,1/1/2001,"Sudbury, Mass",1,Measure theory. Lebesgue integral.,UNKNOWN,763717088,0,UNKNOWN,1,Paperback,1. Stacks,9.78076E+12,2002510420,QA312 .J58 2001,515/.42,1,0
Linear algebra,"Kirkpatrick, Kimberly S. Lipschutz, Seymour.",McGraw-Hill,1/1/2009,New York,4,"Algebras, Linear.",UNKNOWN,007154352X,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2011414419,QA184.2 .L53 2009,,1,0
Linear algebra and its applications,"Lay, David C.",Addison-Wesley,1/1/1997,"Reading, Mass",2,"Algebras, Linear.",UNKNOWN,201824787,0,UNKNOWN,1,Hardcover,UNKNOWN,9.7802E+12,96009417,QA184 .L397 1997,512/.5,1,0
Linear algebra and its applications,"Lay, David C.",Addison-Wesley,1/1/2012,Boston,4,"Algebras, Linear.",UNKNOWN,321385179,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78032E+12,2010048460,QA184.2 .L39 2012,512/.5,1,0
Linear algebra for dummies,"Sterling, Mary Jane.",Wiley,1/1/2009,Hoboken Chicester,1,"Algebras, Linear.",UNKNOWN,470430907,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,2009927342,QA184.2 .S74 2009,512.5,1,0
Linear algebra with applications,"Bretscher, Otto.",Prentice Hall,1/1/1997,"Upper Saddle River, N.J",1,"Algebras, Linear.",UNKNOWN,131907298,82,UNKNOWN,1,Hardcover,UNKNOWN,9.78013E+12,96036942,QA184 .B73 1997,512/.5,1,0
Linear mixed models for longitudinal data,"Verbeke, Geert. Molenberghs, Geert.",Springer,1/1/2000,New York,1,Linear models (Statistics) Longitudinal method.,UNKNOWN,387950273,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,10,QA279 .V458 2000eb,519.5/3,1,0
Linear models,"Searle, S. R.",Wiley,1/1/2000,New,1,Analysis of variance. Estimation theory. Statistical hypothesis testing. Linear models (Statistics),UNKNOWN,471769509,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,70138919,QA279 .S4,519.5,1,0
Linear models in statistics,"Rencher, Alvin C. Schaalje, G. Bruce.",Wiley-Interscience,1/1/2008,"Hoboken, N.J",2,Linear models (Statistics),UNKNOWN,471754986,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2007024268,QA276 .R425 2008,519.5/35,1,0
Linear models with R,"Faraway, Julian James.",Chapman & Hall/CRC,1/1/2005,Boca Raton,1,Analysis of variance. Regression analysis.,UNKNOWN,1584884258,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78158E+12,2004051916,QA279 .F37 2005,519.5/38,1,0
"Magruder's American government, 75th Anniversary ed.","McClenaghan, William A. Magruder, Frank Abbott",Prentice Hall,1/1/1992,"Needham, Mass",1,Civics. Political science.,UNKNOWN,133656322,0,UNKNOWN,1,Hardcover,1. Stacks,9.78013E+12,2009280080,JK274 .M276 1992,,1,0
Math magic : how to master everyday math problems,"Flansburg, Scott. Hay, Victoria.",Perennial Currents,1/1/2004,New York,1,Mathematics.,UNKNOWN,60726350,12.95,UNKNOWN,1,Paperback,UNKNOWN,9.78006E+12,2004040091,QA135.6 .F73 2004,513/.12,1,0
Mathematical statistics,"Freund, John E.",Prentice Hall,1/1/1992,"Englewood Cliffs, N.J",5,Mathematical statistics.,UNKNOWN,135638348,0,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,91043357,QA276 .F692 1992,519.5,1,0
Mathematical statistics,"Freund, John E.",Prentice-Hall,1/1/2000,Englewood Cliffs,2,Mathematical statistics.,UNKNOWN,135622239,0,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,71149435,QA276 .F692 1971,519.5,1,0
Mathematical statistics and data analysis,"Rice, John A.",Duxbury Press,1/1/1995,"Belmont, CA",2,Statistics.,UNKNOWN,534209343,101.65,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,93028340,QA276.12 .R53 1995,519.5,1,0
Mathematical statistics with applications,"Ramachandran, K. M. Tsokos, Chris P.",Academic Press,1/1/2009,Amsterdam Boston,1,Mathematical statistics.,UNKNOWN,123748488,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78012E+12,2008044556,QA276 .R328 2009,519.5,1,0
Mathematical statistics with applications,"Wackerly, Dennis D. Mendenhall, William. Scheaffer, Richard L.",Thomson Brooks/Cole,1/1/2008,"Belmont, CA",7,Mathematical statistics.,UNKNOWN,495110817,0,UNKNOWN,1,Hardcover,UNKNOWN,9.7805E+12,2007922554,QA276 .M426 2008,,1,0
Matrices with applications in statistics,"Graybill, Franklin A.",Wadsworth International Group,1/1/1983,"Belmont, Calif",2,Matrices. Linear models (Statistics),UNKNOWN,534980384,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,82008485,QA188 .G715 1983,512.9/434,1,0
Matrix algebra from a statistician's perspective,"Harville, David A.",Springer,1/1/2008,New York,1,"Algebras, Linear. Linear models (Statistics)",UNKNOWN,387783563,0,UNKNOWN,1,Paperback,UNKNOWN,9.78039E+12,2008927514,QA184.2 .H378 2008,,1,0
Matrix algebra useful for statistics,"Searle, S. R.",Wiley-Interscience,1/1/2006,"Hoboken, N.J",1,Matrices. Statistics.,UNKNOWN,470009616,0,UNKNOWN,1,Paperback,UNKNOWN,9.78047E+12,2006274096,QA188 .S4 2006,512.9/434,1,0
Methods for testing and evaluating survey questionnaires,"Presser, Stanley. Rothgeb, Jennifer M. Couper, Mick P. Lessler, Judith T. Martin, Elizabeth. Martin, Jean. Singer, Eleanor.","John Wiley & Sons, Inc.",1/1/2004,"Hoboken, NJ",1,Social surveys. Questionnaires. Social sciences.,UNKNOWN,471458414,0,UNKNOWN,1,Paperback,UNKNOWN,9.78047E+12,2003063992,HM538 .M48 2004,300/.72/3,1,0
Methods of multivariate analysis,"Rencher, Alvin C.",J. Wiley,1/1/2002,New York,2,Multivariate analysis.,UNKNOWN,471418897,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2001046735,QA278 .R45 2002,519.5/35,1,0
Micro-trend trading for daily income : using intraday trading tactics to harness the power of today's volatile markets,"Carr, Thomas K.",McGraw-Hill,1/1/2011,New York,1,Day trading (Securities) Speculation. Investment analysis.,UNKNOWN,71752870,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2010036605,HG4515.95 .C377 2011,332.64,1,0
Model assisted survey sampling,"Särndal, Carl-Erik Swensson, Bengt Wretman, Jan",Springer-Verlag,1/1/1992,New York,1,N/A,UNKNOWN,387406204,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,,QA276.6 .S37 1992,,1,0
Modeling longitudinal data,"Weiss, Robert E.",Springer,1/1/2005,New York London,1,Longitudinal method. Mathematical statistics. Longitudinaal onderzoek. Data-analyse.,UNKNOWN,387402713,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,,QA276 .W445 2005,519.5,1,0
Modelling survival data in medical research,"Collett, D.",Chapman & Hall/CRC,1/1/2003,"Boca Raton, Fla",2,Survival analysis (Biometry) Clinical trials. Survival Analysis. Clinical Trials as Topic. Biometry.,UNKNOWN,1584883251,0,UNKNOWN,1,Paperback,1. Stacks,9.78158E+12,2003040945,R583.S7 C65 2003,610/.7/27,1,0
Morning sunshine! : how to radiate confidence and feel it too,"Meade, Robin.",Center Street,1/1/2009,New York,1,Attitude (Psychology) Confidence.,UNKNOWN,1599951649,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,2009013078,BF327 .M43 2009,158.2,1,0
Mugged : racial demagoguery from the seventies to Obama,"Coulter, Ann H.",Sentinel,1/1/2012,New York,1,Race.,UNKNOWN,1595230998,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,2012029118,E184.A1 C658 2012,305.800973,1,0
Multiple imputation and its application,"Carpenter, James R. Kenward, Michael G.",John Wiley & Sons,1/1/2013,"Chichester, West Sussex",1,"Data Interpretation, Statistical. Biomedical Research.",UNKNOWN,470740523,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2012028821,,610.72/4,1,0
Multivariate data analysis,"Hair, Joseph F.",Prentice Hall,1/1/2010,"Upper Saddle River, NJ",7,Multivariate analysis.,UNKNOWN,138132313,0,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,2008051650,QA278 .M85 2010,519.5/35,1,0
No easy day : the autobiography of a Navy SEAL : the firsthand account of the mission that killed Osama bin Laden,"Owen, Mark. Maurer, Kevin.",Dutton,1/1/2012,"New York, N.Y",1,"Terrorists. Terrorism. Special operations (Military science) Special forces (Military science) War on Terrorism, 2001-2009.",UNKNOWN,525953728,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,,VG87 .O946 2012,359.9/84092,1,0
Number theory,"Andrews, George E.",Dover Publications,1/1/1994,New York,1,Number theory.,UNKNOWN,486682528,9.95,UNKNOWN,1,Paperback,UNKNOWN,9.78049E+12,94005243,QA241 .A5 1994,512/.7,1,0
Numerical methods for scientists and engineers,"Hamming, R. W.",Dover,1/1/1986,New York,2,Numerical analysis.,UNKNOWN,486652416,0,UNKNOWN,1,Paperback,1. Stacks,9.78049E+12,86016226,QA297 .H28 1986,519.4,1,0
Output delivery system,"Haworth, Lauren E. Zender, Cynthia L. Burlew, Michele M.",SAS Institute Inc.,1/1/2009,"Cary, N.C",1,Database management. Information retrieval. Statistics. Business report writing.,UNKNOWN,1599946602,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,,QA76.9.D3 H383 2009eb,5.74,1,0
Plane answers to complex questions : the theory of linear models,"Christensen, Ronald",Springer,1/1/2011,New York,4,Linear models (Statistics) Analysis of variance.,UNKNOWN,1441998152,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78144E+12,2011928555,QA279 .C48 2011,,1,0
Practical methods for design and analysis of complex surveys,"Lehtonen, Risto. Pahkinen, Erkki.",Wiley,1/1/1995,Chichester New York,1,Sampling (Statistics) Surveys.,UNKNOWN,047193934X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,94020917,QA276.6 .L46 1995,001.4/33,1,0
Practical tools for designing and weighting survey samples,"Valliant, Richard Dever, Jill A. Kreuter, Frauke",N/A,1/1/2000,N/A,1,Sampling (Statistics) Mathematical statistics.,UNKNOWN,146146448X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78146E+12,2013935493,QA276.6 .V353 2013,,1,0
Prague (City Guide) [Paperback],Insight Guides (Author),Insight Guides,1/1/2006,N/A,1,N/A,UNKNOWN,9812581413,15.95,UNKNOWN,1,Hardcover,UNKNOWN,9.78981E+12,,,,1,0
Principles of biostatistics,"Pagano, Marcello Gauvreau, Kimberlee",Duxbury,1/1/2000,"Pacific Grove, CA",2,Biometry.,UNKNOWN,534229026,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,27943,QH323.5 .P34 2000,570/.1/5195,1,0
Principles of microeconomics,"Taylor, John B.",Houghton Mifflin,1/1/1995,Boston,1,Microeconomics.,UNKNOWN,395660327,0,UNKNOWN,1,Hardcover,1. Stacks,9.7804E+12,94048758,HB172 .T39 1995,338.5,1,0
Principles of microeconomics,"Taylor, John B.",Houghton Mifflin,1/1/1998,"Boston, MA",2,N/A,UNKNOWN,395874548,0,UNKNOWN,1,Paperback,1. Stacks,9.7804E+12,9772555,HB172 .T392 1998,,1,0
Probability and statistical inference,"Hogg, Robert V. Tanis, Elliot A.",Prentice Hall,1/1/2001,"Upper Saddle River, NJ",6,Probabilities. Mathematical statistics.,UNKNOWN,130272949,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78013E+12,25352,QA273 .H694 2001,519.2,1,0
Probability and statistical inference,"Mukhopadhyay, Nitis",Marcel Dekker,1/1/2000,New York,1,Probabilities. Mathematical statistics.,UNKNOWN,824703790,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78082E+12,22901,QA273 .M85 2000,519.2,1,0
Probability and statistics,"Spiegel, Murray R. Schiller, John J. Srinivasan, R. Alu.",McGraw-Hill,1/1/2009,New York,3,Probabilities. Mathematical statistics.,UNKNOWN,71544259,0,UNKNOWN,1,Paperback,UNKNOWN,9.78007E+12,2011289323,QA273.25 .S64 2009,519.2076,1,0
Programming and problem solving with C++,"Dale, Nell B. Weems, Chip. Headington, Mark R.",Jones and Bartlett,1/1/1997,"Sudbury, Mass",1,C++ (Computer program language),UNKNOWN,763702927,0,UNKNOWN,1,Hardcover,1. Stacks,9.78076E+12,96223831,QA76.73.C153 D34 1997,005.13/3,1,0
Programming and problem solving with Visual Basic .NET,"Dale, Nell B.",Jones and Bartlett Publishers,1/1/2003,Boston,1,BASIC (Computer program language),UNKNOWN,763717630,0,UNKNOWN,1,Paperback,1. Stacks,9.78076E+12,2002016070,QA76.73.B3 P75 2003,005.2/768,1,0
Programming Microsoft Visual Basic 2005: the language,"Balena, Francesco",Microsoft Press,1/1/2006,"Redmond, Wash",1,BASIC (Computer program language),UNKNOWN,735621837,0,UNKNOWN,1,Hardcover,1. Stacks,9.78074E+12,2005936844,QA76.73.B3 B3455 2006,005.2/768,1,0
Psychology in perspective,"Tavris, Carol. Wade, Carole.",Longman,1/1/1997,New York,2,Psychology.,UNKNOWN,673983145,0,UNKNOWN,1,Hardcover,1. Stacks,9.78067E+12,96028865,BF121 .T33 1997,150,1,0
"Public opinion : coalitions, elites, and masses","Holloway, Harry George, John H.",St. Martin's Press,1/1/1979,New York,1,Public opinion.,UNKNOWN,312654804,0,UNKNOWN,1,Paperback,UNKNOWN,9.78031E+12,78065248,HN90.P8 H64,303.3/8/0973,1,0
Quantitative trading strategies : harnessing the power of quantitative techniques to create a winning trading program,"Kestner, Lars.",McGraw-Hill,1/1/2003,New York,1,Stocks. Portfolio management.,UNKNOWN,71412395,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2002156092,HG4661 .K37 2003,332.64,1,0
R for Business Analytics,"Ohri, Ajay",Springer,1/1/2000,New York,1,N/A,UNKNOWN,1461443423,0,UNKNOWN,1,Hardcover,1. Stacks,9.78146E+12,,HD38.7,658.4720286,1,0
R for SAS and SPSS users,"Muenchen, Robert A.",Springer,1/1/2009,"New York, NY",1,R (Computer program language) R (Langage de programmation),UNKNOWN,387094180,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,,QA276.45.R3 M84 2009,,1,0
Random number generation and Monte Carlo methods,"Gentle, James E.",Springer,1/1/1998,New York,1,Monte Carlo method. Random number generators.,UNKNOWN,387985220,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,98016709,QA298 .G46 1998,519.2/82,1,0
Reading and understanding multivariate statistics,"Grimm, Laurence G. Yarnold, Paul R.",American Psychological Association,1/1/1995,"Washington, D.C",1,Multivariate analysis. Psychometrics.,UNKNOWN,1557982732,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,94029873,QA278 .R43 1995,001.4/225,1,0
Reference handbook of research and statistical methods in psychology : for students and professionals,"Yaremko, R. M.",Harper & Row,1/1/1982,New York,1,"Psychology. Psychometrics. Psychology, Experimental.",UNKNOWN,60473320,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78006E+12,81006556,BF76.5 .R43 1982,150/.72,1,0
Regression : linear models in statistics,"Bingham, N. H. Fry, John M.",Springer,1/1/2010,London New York,1,Regression analysis. Lineares Regressionsmodell.,UNKNOWN,1848829698,0,UNKNOWN,1,Paperback,UNKNOWN,9.78185E+12,2010935297,QA278.2 .B56 2010,519.536,1,0
Rogue regimes : terrorism and proliferation,"Tanter, Raymond.",St. Martin's Press,1/1/1998,New York,1,State-sponsored terrorism. International relations. Nuclear nonproliferation. National security.,UNKNOWN,312173008,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78031E+12,97021494,HV6431 .T39 1998,327.1/17,1,0
Sample survey methods and theory,"Hansen, Morris H. (Morris Howard), 1910-",Wiley,1/1/1953,"New York, NY",1,Sampling (Statistics),UNKNOWN,471309664,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,53008112,QA276.H33,311.22,1,0
Sample survey methods and theory Vol. I,"Hansen, Morris H. Hurwitz, William N. Madow, William G",Wiley,1/1/1953,New York,1,Sampling,UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,,QA 276 .H25 V1,,1,0
Sample survey methods and theory Vol. II,"Hansen, Morris H. Hurwitz, William N. Madow, William G",Wiley,1/1/1953,New York,1,Sampling,UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,538112,QA 276 .H25 V2,,1,0
Sample survey principles and methods,"Barnett, Vic.",Edward Arnold,1/1/1991,London,1,Sampling (Statistics),UNKNOWN,340545534,0,UNKNOWN,1,Hardcover,1. Stacks,9.78034E+12,95196446,QA276.6 .B36 1991b,519.5/2,1,0
Sample surveys,"Pfefferman, Daniel. Rao, C. Radhakrishna",Elsevier/North-Holland,1/1/2009,Amsterdam Boston,1,Sampling (Statistics) Surveys.,UNKNOWN,444534385,0,UNKNOWN,1,Hardcover,1. Stacks,9.78044E+12,,QA276.6 .S3335 2009,,1,0
Sampling,"Thompson, Steven K.",Wiley,1/1/2012,"Hoboken, N.J",3,Sampling (Statistics),UNKNOWN,470402318,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2011028944,QA276.6 .T58 2012,519.5/2,1,0
Sampling : design and analysis,"Lohr, Sharon L.",Brooks/Cole,1/1/2010,"Boston, Mass",2,Sampling (Statistics) Stichprobe.,UNKNOWN,495110841,0,UNKNOWN,1,Paperback,1. Stacks,9.7805E+12,2009938648,HA31.2 .L64 2010,,1,0
Sampling : design and analysis,"Lohr, Sharon L.",Duxbury Press,1/1/1999,"Pacific Grove, CA",1,Sampling (Statistics),UNKNOWN,534353614,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,98044566,HA31.2 .L64 1999,519.5/2,1,0
Sampling for health professionals,"Levy, Paul S. Lemeshow, Stanley",Lifetime Learning Publications,1/1/1980,"Belmont, Calif",1,Health Surveys. Health surveys. Sampling (Statistics) Sampling Studies. Statistics as Topic.,UNKNOWN,534979866,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,80014733,RA409 .L49,362.1/0723,1,0
Sampling Methodologies,"Miller, William C.",Chapman & Hall/CRC [Imprint] $c Nov.,1/1/2000,Boca Raton,1,N/A,UNKNOWN,158488214X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78158E+12,,HA31.2.R36 2000,519.5/2,1,0
Sampling methods,"Ardilly, Pascal. Tille´, Yves.",Springer,1/1/2006,New York,1,Sampling (Statistics) Social sciences.,UNKNOWN,387261273,0,UNKNOWN,1,Paperback,1. Stacks,9.78039E+12,,QA276.6 .A724 2006,,1,0
Sampling of populations : methods and applications,"Levy, Paul S. Lemeshow, Stanley.",Wiley,1/1/1999,New York,3,Population. Sampling (Statistics),UNKNOWN,471155756,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,98020498,HB849.49 .L48 1999,304.6/01/51952,1,0
Sampling of populations--methods and applications,"Levy, Paul S. Lemeshow, Stanley.",Wiley,1/1/1991,New York,1,Population. Sampling (Statistics),UNKNOWN,471508225,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,90013047,HB849.49 .L48 1991,304.6/01/51952,1,0
"Sampling rare or elusive species : concepts, designs, and techniques for estimating population parameters","Thompson, William L.",Island Press,1/1/2004,Washington,1,Rare animals. Rare plants.,UNKNOWN,1559634510,0,UNKNOWN,1,Paperback,1. Stacks,9.78156E+12,2004008006,QL82 .S26 2004,591.68,1,0
Sampling statistics,"Fuller, Wayne A.",Wiley,1/1/2009,"Hoboken, N.J",1,Sampling (Statistics) Estimation theory. Mathematical statistics.,UNKNOWN,470454601,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,10,QA276.6 .F84 2009eb,519.5/2,1,0
Sampling techniques,"Cochran, William Gemmell",Wiley,1/1/1963,New York,2,Sampling (Statistics),UNKNOWN,,0,UNKNOWN,1,Hardcover,UNKNOWN,,63007553,QA276.6 .C6 1963,,1,0
Sampling techniques,"Cochran, William Gemmell",Wiley,1/1/1977,New York,2,Sampling (Statistics),UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,637553,QA276.6 .C6 1963,001.4/222,1,0
Sampling techniques.,"Cochran, William Gemmell, 1909-",Wiley,1/1/1963,"New York, NY.",2,Sampling (Statistics),UNKNOWN,471162388,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,63007553,QA276.5 .C6 1963,311.21,1,0
Sampling theory of surveys with applications,"Sukhatme, Pandurang Vasudeo",Iowa State University Press,1/1/1984,"Ames, Iowa, U.S.A",3,Sampling (Statistics),UNKNOWN,813816173,0,UNKNOWN,1,Hardcover,1. Stacks,9.78081E+12,84082161,QA276.6 .S336 1984,519.5/2,1,0
"Sampling theory of surveys,","Sukhatme, Pandurang Vasudeo Sukhatme, Balkrishna V.",Iowa State University Press,1/1/1980,Ames,1,Sampling (Statistics),UNKNOWN,813813700,0,UNKNOWN,1,Hardcover,1. Stacks,9.78081E+12,75016895,QA276.6 .S86 1970b,519,1,0
Sampling theory of surveys: with applications,"Sukhatme, Pandurang Vasudeo",Indian Society of Agricultural Statistics,3/1/1954,"New Delhi, India",1,N/A,UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,,QA 276.6 .S95,,1,0
Sams teach yourself Visual BASIC 2008 in 24 hours : complete starter kit,"Foxall, James D.",Sams Pub.,1/1/2008,"Indianapolis, Ind",1,BASIC (Computer program language),UNKNOWN,672329840,0,UNKNOWN,1,Hardcover,1. Stacks,9.78067E+12,2008010868,QA76.73.B3 F69528 2008,005.2/762,1,0
SAS,N/A,SAS Institute,1/1/1991,"Cary, NC",1,Mathematical statistics.,UNKNOWN,1555444210,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,92198068,QA276.4 .S2394 1991,519.5/0285/5369,1,0
SAS 9.2 Intelligence Platform,N/A,SAS Pub.,1/1/2009,"Cary, N.C",1,Integrated software. Web site development. Application software.,UNKNOWN,1599943409,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,,QA276.4 .S272 2009eb,519.5/0285/536,1,0
